id,Name,Barcode,Manufactorer,Amount,GS1 Form,Food-Grade,Material,Colour
1294,Lakridskarameller,5703161712113,Easis,70 g,bag,true,plastic,other-colours
8111,Cup Noodles,5997523311230,Nissin,"0,089 kg",cup-tub,true,plastic,other-colours
15566,Sensitive gel,7702018017041,Gillette,"0,4 liter",aerosol,false,metal,other-colours
5888,Tonic,5712874467654,Fentimans,500 ml,bottle,true,glass,clear
6817,Mørk pålægschokolade 47% kakao,5774540442501,Galle & Jessen,216 g,box,true,fibre-based,other-colours
6600,Blended Scotch Whisky,5000267117560,Johnnie Walker,70 cl,box,false,fibre-based,other-colours
14204,Cappelletti,8017268125583,La Pasta del Guado,"0,25 kg",tray,true,plastic,clear
5309,Energidrik sukkerfri,5060639121236,Monster,500 ml,can,true,metal,other-colours
479,Vegansk is m. kakao og stykker af brownie,5701977001292,Naturli',500 ml,bucket,true,fibre-based,other-colours
8498,Madras karry,5712872658542,Sunbest,200 g,can,true,metal,other-colours
5952,Sportsdrik m. æble- og kiwismag,5712872762263,Active O2,500 ml,bottle,true,plastic,clear
575,Mælkeis m. saltet karamelsmag øko,5712874947620,Salling ØKO,290 g,bucket,true,fibre-based,other-colours
8287,Hakkede tomater m. basilikum,8005110170423,Mutti,400 g,can,true,metal,other-colours
6193,Blended Scotch Whisky 15 år,5000267134710,Johnnie Walker,70 cl,bottle,true,glass,clear
12994,Rød blandet saft,7340011422228,Xtra,"1,5 liter",brick,true,fibre-based,other-colours
11498,Kødboller i Ris og Karry,5700381160267,Irmas,"0,7 kg",sleeve,true,plastic,other-colours
479,Vegansk is m. kakao og stykker af brownie,5701977001292,Naturli',500 ml,bucket,true,fibre-based,other-colours
338,Tricolore is,5766632232329,Polar Is,1 liter,box,true,fibre-based,other-colours
13450,Økologiske Hakkede Tomater,7340011492016,Änglamark,"0,39 kg",brick,true,fibre-based,other-colours
2680,Flødeskum 35% fedt u. tilsat sukker,5710405309183,Président,252 ml,aerosol,true,metal,other-colours
10339,Mandelsmør øko,5701058011400,Urtekram,150 g,jar,true,glass,clear
7538,Hakkede tomater,5712872093930,Heinz,390 g,brick,true,fibre-based,other-colours
3234,Havredrik,7394376618963,Oatly,1.000 ml,gable-top,true,fibre-based,other-colours
1730,Mørk chokolade 48% kakao m. chilismag,5710405059460,Lindt,100 g,box,false,fibre-based,other-colours
4342,Vandmelon i skiver,5712873659852,,700 g,tray,true,plastic,black
1052,Frugtstænger m. jordbær øko,5707653007510,Castus,5 stk,bag,true,plastic,other-colours
5089,Appelsinjuice fra koncentrat,5705010122326,Budget,5 stk,brick,true,fibre-based,white
7162,Paprika,7311311015182,Santa Maria,37 g,jar,true,glass,clear
2000,20 Flavours,71570001667,Jelly Belly,70 g,bag,true,plastic,other-colours
6893,Ristede løg øko,5712870889917,Levevis,150 g,bucket,true,plastic,clear
5508,Frugtdrik m. mangopuré,8718226323040,Maaza,1 l,gable-top,true,fibre-based,other-colours
14489,Olivenolie spray,5710959080996,Irmas,"0,4 liter",aerosol,true,metal,other-colours
1700,Ristede solsikkefrø m. salt,5706920354043,Kilic,300 g,bag,true,plastic,other-colours
8594,Hakkede tomater m. hvidløg,8005110170461,Mutti,400 g,can,true,metal,other-colours
2931,"Minimælk 0,4% fedt øko",5711953146541,Arla,500 ml,gable-top,true,fibre-based,other-colours
3726,"Yoghurt m. jordbær 1,4% fedt",4016241031242,Arla,750 g,gable-top,true,fibre-based,other-colours
12985,Multifrugt Juice,7340011343936,Xtra,"1,25 liter",gable-top,true,fibre-based,other-colours
3673,Marinerede sild i fileter,5710405311728,Lykkeberg,800 g,bucket,true,plastic,other-colours
6216,Monastrell Castaño øko,8422443002151,Familia Castaño,75 cl,bottle,true,glass,clear
11637,Økologisk Skyr naturel,5701975301028,Thise,1 kg,bucket,true,plastic,white
15443,Håndcreme,7340011315575,Änglamark,"0,075 liter",tube,false,plastic,white
575,Mælkeis m. saltet karamelsmag øko,5712874947620,Salling ØKO,290 g,bucket,true,fibre-based,other-colours
1323,Blomme i madeira mini,5774540924106,Anthon Berg,105 g,box,true,fibre-based,other-colours
9691,Instant kopnudler m. karry,8710604743303,Pot Noodle,90 g,cup-tub,true,plastic,other-colours
2290,Hamburgerryg,5705333090456,Antonius,1.086 g,sleeve,true,plastic,white
480,Flødeis m. karamel- og chokoladeovertrukkede karamelstykker,8711327373969,Ben & Jerry's,465 ml,cup-tub,true,fibre-based,other-colours
15526,Creme,7319470801059,Nivea,"0,25 liter",can,false,metal,other-colours
3635,Organic Grate Me,5701977000837,Naturli',"0,25 kg",brick,true,fibre-based,other-colours
15379,Shampoo Blonde,5710404824113,Stuhr,"0,25 liter",tube,false,plastic,other-colours
2823,"Yoghurt af skyr m. kokos 0,2% fedt u. tilsat sukker",5711953065934,Cheasy,1.000 g,gable-top,true,fibre-based,white
9096,Tyttebærsyltetøj øko,5707446009165,Fynbo,340 g,jar,true,glass,clear
15971,Baby fedtcreme,7340191107977,Änglamark,"0,1 liter",tube,false,plastic,other-colours
14400,Extra virgin olivenolie spray,7340011484295,Coop,"0,2 liter",aerosol,true,metal,other-colours
14398,Extra Virgin Olive oil spray,7340011484288,Coop,"0,2 liter",aerosol,true,metal,other-colours
17418,Pasta m. tomat og basilikum,8058669800747,My Instant,70 g,cup-tub,true,plastic,white
5808,Heated Seats Hazy Pale Ale,5704255119023,Mikkeller,330 ml,can,true,metal,other-colours
1451,Majschips m. barbecue,5710405088576,Doritos,170 g,bag,true,plastic,other-colours
6103,Rocca Ventosa,8002001025084,Cantina Tollo,75 cl,bottle,true,glass,clear
10797,Hakket gris & kalvekød,5700383017392,Coop,"0,4 kg",tray,true,plastic,black
9299,Syltede blandede grøntsager,8699073291150,Melis,670 g,jar,true,glass,clear
1099,Skumfiduser,5711070700473,Nordthy,150 g,bag,true,plastic,other-colours
11085,iMAT Visp,7394376617768,Oatly,"0,25 liter",brick,true,fibre-based,other-colours
932,Chokoladebar,5774540069302,Toms,200 g,sleeve,true,plastic,other-colours
11789,Økologisk Græsk inspireret yoghurt,5718146110211,Irmas,1 kg,bucket,true,plastic,other-colours
14398,Extra Virgin Olive oil spray,7340011484288,Coop,"0,2 liter",aerosol,true,metal,other-colours
6028,Ice tea m. ferskensmag,57088853,Fuze Tea,400 ml,bottle,true,plastic,clear
15523,Anti-perspirant Spray,8710447439630,Neutral,"0,15 liter",aerosol,false,metal,other-colours
2731,Kalkunbacon i tern fedtreduceret,5710405309596,Den Grønne Slagter,125 g,tray,true,plastic,clear
5331,Tempranillo Garnacha,8410702018463,Viña Morena,300 cl,box,false,fibre-based,other-colours
6185,Drinksmixer m. jordbær,3052910036348,Monin,50 cl,bottle,true,plastic,other-colours
15898,NAN 1,7613036252324,Nestlé,"0,2 liter",brick,true,fibre-based,other-colours
11639,Original,4000339697908,Philadelphia,"0,2 kg",cup-tub,true,plastic,other-colours
9549,Grøn te m. ingefær,70177175221,Twinings,40 g,box,false,fibre-based,other-colours
15343,Absolut Man,737052769332,Bruno Banani,"0,15 liter",aerosol,false,metal,other-colours
10011,Formalet kaffe,8690627023401,Kurukahveci Mehmet Efendi,250 g,can,true,metal,other-colours
16901,Stegte kyllingestrimler,5712873981526,Salling,300 g,tray,true,plastic,clear
15670,Glued blasting freeze,5012583105091,got2b,"0,3 liter",aerosol,false,metal,other-colours
11794,Økologisk Skyr med mango og müslitop,5701975304180,Thise,"0,16 kg",cup-tub,true,plastic,other-colours
1257,Ristede peanuts m. salt,5711544006865,DK-nuts,1.000 g,bag,true,plastic,other-colours
14936,Treo Citrus,7046261621250,,10 stk,can,false,plastic,other-colours
11720,Økologisk Græsk inspireret yoghurt,5718146110235,Irmas,1 kg,bucket,true,plastic,other-colours
2111,Chips m. sour cream vegetarisk,5060326870874,Good & Honest,85 g,bag,true,plastic,other-colours
5165,Mokaï m. hyldeblomst,5710176001941,Mokai,275 ml,bottle,true,glass,clear
5992,Kung Fu Girl Riesling,1220000080416,Charles Smith,75 cl,bottle,true,glass,other-colours
2679,"Sødmælk 3,5% fedt laktosefri",5711953092459,Arla,1 l,gable-top,true,fibre-based,other-colours
11637,Økologisk Skyr naturel,5701975301028,Thise,1 kg,bucket,true,plastic,white
8043,Hele hvide asparges,5701077823138,Paradiso,180 g,jar,true,glass,clear
11213,Krydrede sild,5701379220925,Hirtshals Sild,"0,175 kg",jar,true,glass,clear
2792,Kyllingepølse mild øko,5709760085764,Salling ØKO,200 g,sleeve,true,plastic,other-colours
1254,Blandede bolcher m. lakrids- og frugtsmag sukkerfri,5701049253277,Evers,70 g,bag,true,plastic,other-colours
784,Chips m. barbecue,8710398603425,Lay's,175 g,bag,true,plastic,other-colours
12852,Nordic Ale,5740700987069,Carlsberg,"1,98 liter",can,true,metal,other-colours
10392,Mayonnaise fedtreduceret,5703161812349,Easis,250 g,jar,true,glass,clear
5218,Læskedrik m. rabarber øko,5705010081173,Rynkeby,200 ml,brick,true,fibre-based,other-colours
17216,Remoulade,5704000494337,Graasten,150 g,tube,true,plastic,other-colours
4612,TUC kiks m. paprika,5410041066005,LU,100 g,sleeve,true,plastic,other-colours
1838,Tørrede gojibær øko,5765228514368,Urtekram,40 g,bag,true,plastic,other-colours
11637,Økologisk Skyr naturel,5701975301028,Thise,1 kg,bucket,true,plastic,white
1642,Dadler m. saltet karamel,5710183003280,Simple Life by Trope,200 g,bag,true,plastic,other-colours
6233,Backhouse Pinot Noir,898756001187,Laudrup,75 cl,bottle,true,glass,other-colours
5406,Smoothie m. mango og passionsfrugt,5712872935490,Salling,250 ml,bottle,true,plastic,clear
8053,Tikka Masala sauce,5011308303262,Patak's,"0,45 kg",jar,true,glass,clear
1193,Chips m. ost,5053990138715,Pringles,200 g,cup-tub,true,metal,other-colours
3409,Leerdammer i skiver mild 45+,5710405310240,Leerdammer,160 g,tray,true,plastic,clear
2655,Græsk yoghurt 2% fedt,5790000427161,Athena,1 kg,bucket,true,plastic,white
14489,Olivenolie spray,5710959080996,Irmas,"0,4 liter",aerosol,true,metal,other-colours
16643,Universal insektspray,5703013024623,Pest-stop,"0,4 liter",aerosol,false,metal,other-colours
2709,"Yoghurt m. pære og banan 1,4% fedt laktosefri",5711953004230,Arla,1.000 g,gable-top,true,fibre-based,other-colours
7723,Stødt gurkemeje,7311311015281,Santa Maria,35 g,jar,true,glass,clear
5720,Blended Scotch Whisky 12 år,5000299228661,Chivas Regal,70 cl,bottle,true,glass,clear
575,Mælkeis m. saltet karamelsmag øko,5712874947620,Salling ØKO,290 g,bucket,true,fibre-based,other-colours
6775,Hakkede tomater,5712871785263,Budget,400 g,can,true,metal,other-colours
15755,Poly Swing,4015000627313,Schwarzkopf,"0,25 liter",aerosol,false,metal,other-colours
3711,Brændevinssild i fileter,5701012921042,Princip,800 g,jar,true,glass,clear
13012,Kakaomælk,7340011472292,Coop,"1,2 liter",brick,true,fibre-based,other-colours
17426,Hakkede tomater m. urter,8032793343646,Pomi,390 g,brick,true,fibre-based,other-colours
9885,Bagespray,4250448333888,Decocino,200 ml,aerosol,false,metal,other-colours
8858,Fint salt m. selleri,7311311017056,Santa Maria,127 g,jar,true,glass,clear
10129,Koreansk inspireret barbecuekrydderiblanding,7311310034467,Santa Maria,35 g,sleeve,true,plastic,other-colours
11720,Økologisk Græsk inspireret yoghurt,5718146110235,Irmas,1 kg,bucket,true,plastic,other-colours
13682,Aioli med chili,5700384660542,Smag Forskellen,"0,2 kg",cup-tub,true,plastic,clear
1972,Dadelkonfekt,5700002005106,Ganefryd,"0,05 kg",sleeve,true,plastic,other-colours
15659,Face Wash,8710908689222,Neutral,"0,15 liter",aerosol,false,plastic,white
11642,Økologisk Jordbær Yoghurt,5701975300861,Thise,1 kg,gable-top,true,fibre-based,other-colours
8417,Sødemiddel,5703161802012,Easis,170 g,bucket,true,plastic,white
15355,Cobalt Dry,4000388669000,Rexona Men,"0,1 liter",aerosol,false,metal,other-colours
2578,"Skyr m. vanilje 0,2% fedt øko",5712874221522,Salling ØKO,1.000 g,bucket,true,plastic,other-colours
165,Hvidløgsbaguettes,5701012723578,Budget,3 stk,bag,true,plastic,other-colours
9913,Sukat,5707381015481,Tørsleffs,100 g,cup-tub,true,plastic,clear
6786,Tomatpuré,5712873642762,Salling,70 g,can,true,metal,other-colours
13089,Tuborg Squash,5740700992568,Tuborg,"1,98 liter",can,true,metal,other-colours
11775,Rygeost 20%,5713507027535,Meyers,"0,17 kg",cup-tub,true,plastic,white
1562,Pebermyntebolcher m. kakaofyld,5701049254397,Evers,180 g,cup-tub,true,plastic,clear
11200,XXL Rejer,5701379712000,Skipper Rejer,"0,2 kg",cup-tub,true,plastic,clear
15480,Dusch,7340011434948,Coop 365,"0,2 liter",tube,true,plastic,other-colours
5950,Gin,5712873652952,Malfy,70 cl,bottle,true,glass,clear
8360,Mørk pålægschokolade 60% kakao u. tilsat sukker,5703161201372,Easis,112 g,box,false,fibre-based,other-colours
5592,Cognac V.S.,5700102011342,Martell,70 cl,bottle,true,glass,clear
11277,Rullepølse,7340011402978,Coop,"0,1 kg",tray,true,plastic,clear
2229,Pulled chicken,5707196221008,Tulip,450 g,box,false,fibre-based,other-colours
8947,Tandoori,7311311015953,Santa Maria,35 g,jar,true,glass,clear
4604,Belgiske vafler,5900864886855,Dan Cake,250 g,sleeve,true,plastic,other-colours
11720,Økologisk Græsk inspireret yoghurt,5718146110235,Irmas,1 kg,bucket,true,plastic,other-colours
6893,Ristede løg øko,5712870889917,Levevis,150 g,bucket,true,plastic,clear
9198,Lammebouillon,5709347179435,Oscar,90 g,jar,true,plastic,black
168,Rejer str. XL,5701338127029,Princip,300 g,bag,true,plastic,other-colours
8597,Tofu m. peberfrugt øko,5711988005059,Oriental Chef,200 g,sleeve,true,plastic,clear
3765,Kartoffelsalat m. sennep,5701150000814,Flensted,800 g,tray,true,plastic,clear
810,Maltesers,5000159414197,Mars,"0,135 kg",bag,true,plastic,other-colours
9942,Pandekager,5713304000847,Salinas,420 g,jar,true,plastic,clear
11446,Rejesalat,5707237743605,By Kavsman,"0,15 kg",tray,true,plastic,clear
4036,Aioli m. basilikum,5712875100017,Salling,175 g,cup-tub,true,plastic,clear
15645,Exavena emollient cream,7340011480785,Änglamark,"0,2 liter",tube,false,plastic,white
7345,Boysenbærmarmelade,5712873663378,Budget,400 g,jar,true,glass,clear
15770,Pure Active 3 in 1,3600540710574,Garnier,"0,15 liter",tube,false,plastic,other-colours
11016,Økologisk Kokosmælk,7340011497080,Änglamark,"0,33 liter",gable-top,true,fibre-based,other-colours
15645,Exavena emollient cream,7340011480785,Änglamark,"0,2 liter",tube,false,plastic,white
238,Kylling i rød karry m. jasminris medium,8855702006957,Kitchen Joy,350 g,box,true,fibre-based,other-colours
6829,Mornaysauce fedtreduceret,5711953074097,Arla,500 ml,brick,true,fibre-based,other-colours
5908,Vand m. brus hyldeblomst og citron,5703828023842,Aqua D'or,"0,5 l",bottle,true,plastic,clear
13013,Instant kaffe,7340011314868,Änglamark,"0,1 kg",jar,true,glass,clear
4008,Hummus m. persille,5712874506513,Salling,175 g,cup-tub,true,plastic,clear
3089,Ost i skiver lagret 45+,5711953052033,Salling,250 g,tray,true,plastic,clear
8067,Røde kidneybønner,3083681068122,Bonduelle,160 g,brick,true,fibre-based,other-colours
374,Flødeis m. lakrids,5712873642298,Salling,900 ml,box,true,plastic,other-colours
11720,Økologisk Græsk inspireret yoghurt,5718146110235,Irmas,1 kg,bucket,true,plastic,other-colours
15680,Hovedbunds Skrub m. Havtorn,4744183010277,Natura Siberica,"0,2 liter",tube,false,plastic,other-colours
2065,Ristede peanuts m. chili og ostesmag,7310532152287,Taffel,650 g,bag,true,plastic,other-colours
3372,Dip m. ost og basilikumpesto,5712873746118,Salling,110 g,cup-tub,true,plastic,clear
17037,Hummus m. falafel,5712875095375,Salling,175 g,cup-tub,true,plastic,clear
15351,Body Spray Marine,8720181027802,Axe,"0,15 liter",aerosol,false,metal,other-colours
5120,Appelsinjuice m. frugtkød,5705010079033,Rynkeby,"0,85 l",bottle,true,plastic,clear
11780,Yoghurt Naturel,7340011415954,Xtra,1 kg,gable-top,true,fibre-based,other-colours
1205,Eggs & Frogs fra Click Mix,5712872867609,Haribo,10 g,bag,true,plastic,other-colours
7812,Hønsebouillon,5709347065868,Oscar,90 g,cup-tub,true,plastic,black
7041,Brun sauce,5712871902677,Vores,390 ml,jar,true,glass,clear
2586,Salatost,5760466912372,Cheasy,"0,2 kg",cup-tub,true,plastic,other-colours
315,Mælkeis m. vaniljesmag og daimstykker,8711327335820,Frisko,480 ml,cup-tub,true,fibre-based,other-colours
11303,Oksesalami,5700382016853,Irmas,"0,08 kg",sleeve,true,plastic,other-colours
7771,5 Spices Beef,5997523312114,Nissin,"0,064 kg",cup-tub,true,plastic,other-colours
1595,Frugtsnacks m. æble og jordbær øko,5708413030564,Frugi,40 g,bag,true,plastic,other-colours
1657,Osterejer,5712872373766,Big Bag,350 g,bag,true,plastic,other-colours
11333,Røget skinke,7340011426400,Coop,"0,1 kg",tray,true,plastic,clear
8261,Havtorn- og æblemarmelade,5712871479032,Skælskør Frugtplantage,265 g,jar,true,glass,clear
16420,Classics,4008429012617,Cesar,"0,15 kg",tray,true,metal,other-colours
395,Pizza m. skinke og ananas,4001724039860,Dr. Oetker,2 stk,box,true,fibre-based,other-colours
1710,"Nøddeblanding m. honning, chili og mælkechokolade",5701979994615,KiMs,127 g,bag,true,plastic,other-colours
8905,Latte Karamel,5900649077997,Mokate,140 g,box,false,fibre-based,other-colours
11169,Gourmet fiskefrikadeller,5730444930551,Havet's,"0,38 kg",tray,true,plastic,other-colours
6922,Hakkede tomater øko,5712871733790,Salling ØKO,390 g,brick,true,fibre-based,other-colours
2537,Madlavningsfløde 8% fedt,5760466994781,Karolines Køkken,500 ml,gable-top,true,fibre-based,other-colours
15351,Body Spray Marine,8720181027802,Axe,"0,15 liter",aerosol,false,metal,other-colours
772,Yndlings Mix,5712872292258,Vores,250 g,bag,true,plastic,other-colours
3287,Feta 23% fedt,5712873215157,Princip,150 g,brick,true,fibre-based,other-colours
7318,Tomatsuppe m. timian øko,5711953089343,Arla,1 l,brick,true,fibre-based,other-colours
5594,Pepsi Max Mango,5741000173886,Pepsi,"0,5 l",bottle,true,plastic,clear
5132,Ice tea m. ferskensmag,5703855016015,Budget,250 ml,brick,true,fibre-based,other-colours
1318,Finsk lakrids m. lakridsrod,5701012847632,Princip,225 g,bag,true,plastic,black
10228,Tunsalat m. pasta,8410131064888,Mare Aperto,160 g,can,true,metal,other-colours
4644,Småkager m. kanel,5712873839049,Salling,250 g,box,false,fibre-based,other-colours
1982,Tørristede cashewnødder m. havsalt,7310350120796,Nutisal,140 g,bag,true,plastic,other-colours
14440,"Ingefær, stødt",5710175121114,Mill & Mortar,"0,05 kg",can,true,metal,black
498,Mælkeis m. daimstykker og overtræk m. chokoladesmag mini,5710405041663,Frisko,6 stk,box,false,fibre-based,other-colours
2321,Wasabipasta,3760199054594,Sushi Daily,43 g,tube,true,plastic,clear
3312,"Minimælk 0,4% fedt øko",5701852263388,Naturmælk,1 l,gable-top,true,fibre-based,other-colours
1566,Eventyrland Sour vegansk,4037400715858,Katjes,325 g,bag,true,plastic,other-colours
5000,Coca-Cola Zero,5740700982927,Coca-Cola,"7,92 liter",can,true,metal,other-colours
7267,Kidneybønner øko,5708229175152,Økomama,400 g,can,true,metal,other-colours
827,Chips m. sour cream og dild,5701979995742,KiMs,170 g,bag,true,plastic,other-colours
11720,Økologisk Græsk inspireret yoghurt,5718146110235,Irmas,1 kg,bucket,true,plastic,other-colours
15369,Mans best,8005610371191,Bruno Banani,"0,15 liter",aerosol,false,metal,other-colours
7365,Mangochutney mild,5011308000703,Pataks,340 g,jar,true,glass,clear
15686,Hårspray,7340011330394,Xtra,"0,3 liter",aerosol,false,metal,other-colours
2581,Græsk yoghurt 10% fedt,5709289004505,Athena,1 kg,bucket,true,plastic,white
5757,Chablis,3159560700077,Calvet,75 cl,bottle,true,glass,other-colours
11789,Økologisk Græsk inspireret yoghurt,5718146110211,Irmas,1 kg,bucket,true,plastic,other-colours
2655,Græsk yoghurt 2% fedt,5790000427161,Athena,1 kg,bucket,true,plastic,white
2032,Mælkechokoladebar m. karamelfyld,4000539280160,Lindt,38 g,sleeve,true,plastic,other-colours
9467,Tun i vand,5000171056146,John West,160 g,can,true,metal,other-colours
13290,Solbær frugtdrik,5775345201379,Sun Lolly,"0,6 liter",brick,true,fibre-based,other-colours
1023,Lakridspastiller m. saltsmag sukkerfri,5774540415505,Ga-Jol,100 g,cup-tub,true,plastic,black
8438,Urtete m. citron og fennikel øko,5060519146090,Pukka,34 g,box,true,fibre-based,other-colours
9701,Chilipeber piri piri,7311311021886,Santa Maria,11 g,jar,true,glass,clear
4010,Lufttørret Ibérico svinekam m. paprika i skiver,5712871763384,Princip,70 g,tray,true,plastic,clear
14065,Spidskommen,5700381978046,Coop,"0,1 kg",cup-tub,true,plastic,clear
1190,Pastiller m. saltkaramelsmag og salmiak sukkerfri,7310350122363,Läkerol,30 g,bag,true,plastic,other-colours
5531,Brown Ale,5707323690486,Newcastle,50 cl,can,true,metal,other-colours
563,Mælkeis m. kokos og chokolade,5000159537353,Bounty,272 g,cup-tub,true,fibre-based,other-colours
10992,Entrecote,5700383389505,,"0,4 kg",tray,true,plastic,black
6893,Ristede løg øko,5712870889917,Levevis,150 g,bucket,true,plastic,clear
9953,Syltede rødbeder øko,5703339500030,Lagerberg,320 g,jar,true,glass,clear
917,Flæskesvær m. salt,5708413025638,Vores,75 g,bag,true,plastic,other-colours
11766,Pære & banan Sødmælks Yoghurt,7340011311119,Coop,1 kg,gable-top,true,fibre-based,other-colours
1889,Snackblanding m. krydderier,5710183003709,Simple Life by Trope,300 g,bag,true,plastic,other-colours
5292,Somersby Elderflower,5740700990076,Somersby,"0,33 liter",can,true,metal,other-colours
8303,Tomatsalsa stærk,7311312000897,Santa Maria,230 g,jar,true,glass,clear
6038,Cava semi seco øko,8410013010668,Codorníu,75 cl,bottle,true,glass,other-colours
15343,Absolut Man,737052769332,Bruno Banani,"0,15 liter",aerosol,false,metal,other-colours
14400,Extra virgin olivenolie spray,7340011484295,Coop,"0,2 liter",aerosol,true,metal,other-colours
3525,"Risdessert m, jordbærsauce laktosefri",5712874965037,RisiFrutti,165 g,cup-tub,true,plastic,other-colours
6809,Ægte mayonnaise,8710522882276,Hellmann's,430 ml,tube,true,plastic,clear
11642,Økologisk Jordbær Yoghurt,5701975300861,Thise,1 kg,gable-top,true,fibre-based,other-colours
8099,Dessertcreme m. vaniljesmag,5709521042395,Odense,500 ml,brick,true,fibre-based,other-colours
6638,Appelsinjuice fra koncentrat øko,5712873433230,Salling ØKO,5 stk,brick,true,fibre-based,other-colours
13601,Kikærter,7340011487784,Coop 365,"0,23 kg",brick,true,fibre-based,other-colours
8454,Original Chili Pasta,5704929100012,Chu-Chum,"0,27 liter",jar,true,glass,clear
10330,Vaniljesukker øko,5712874000516,Salling ØKO,110 g,bucket,true,plastic,white
9726,Blå birkes,7311311015229,Santa Maria,43 g,jar,true,glass,clear
5379,"Juice m. æble, pære, agurk og matcha",5038862135399,Innocent,750 ml,bottle,true,plastic,clear
9759,Ingefærmarmelade,5707446537750,Fynbo,400 g,jar,true,glass,clear
9576,Manzanilla oliven m. citronpuré,8414564101233,Oro Verde,350 g,can,true,metal,other-colours
2774,Karrysild i bidder,5741600101401,Glyngøre,450 g,jar,true,glass,clear
11489,Spareribs,5700380586068,Irmas Hverdag,"0,5 kg",tray,true,plastic,black
6638,Appelsinjuice fra koncentrat øko,5712873433230,Salling ØKO,5 stk,brick,true,fibre-based,other-colours
6921,Mørk Kæmpeplade,5701049015356,Carletti,"0,2 kg",sleeve,true,plastic,other-colours
2405,Pilsner,5712871351277,Asahi,330 ml,bottle,true,glass,other-colours
15402,"Original tandpasta, 75 ml",5054563020338,Sensodyne,"0,075 liter",tube,true,plastic,other-colours
11388,Tapas mix,8411030051955,Black Serrano,"0,15 kg",tray,true,plastic,clear
8731,Sort te m. vanilje og karamel,5712870080529,Lipton,20 stk,box,false,fibre-based,other-colours
760,Ristede cashewnødder m. salt,5712873570959,Salling,300 g,bag,true,plastic,other-colours
2744,Syltede rødløg,5712873450138,Salling,140 g,cup-tub,true,plastic,clear
1019,Chips m. salt,5712874031138,Salling,125 g,bag,true,plastic,other-colours
10181,Chai te sukkerfri,5711738001980,Østerlandsk,"0,4 kg",can,true,metal,other-colours
15536,Shampoo for Men,7340011491156,Änglamark,"0,2 liter",tube,false,plastic,white
5081,Tuborg Classic,5740700999833,Tuborg,33 cl,can,true,metal,other-colours
11816,Laktosefri Pære Banan Yoghurt,5700381623656,Coop,1 liter,gable-top,true,fibre-based,other-colours
9727,Figurmarcipan hvid,5712872414186,Odense,200 g,sleeve,true,plastic,other-colours
12994,Rød blandet saft,7340011422228,Xtra,"1,5 liter",brick,true,fibre-based,other-colours
2871,Bearnaisesauce,5710405312367,Eriks,230 ml,cup-tub,true,plastic,clear
681,Rosiner øko,5712870830193,Salling ØKO,250 g,bag,true,plastic,other-colours
6708,Frugtdrik m. piña coladasmag,5710405089863,Tropical Dream,1.000 ml,gable-top,true,fibre-based,other-colours
15343,Absolut Man,737052769332,Bruno Banani,"0,15 liter",aerosol,false,metal,other-colours
5834,Cava sec,8410743041123,Perelada,75 cl,bottle,true,glass,clear
3312,"Minimælk 0,4% fedt øko",5701852263388,Naturmælk,1 l,gable-top,true,fibre-based,other-colours
11820,Burrata,8000430138931,Galbani,"0,15 kg",cup-tub,true,plastic,other-colours
